Restaurant_seq_ID,restaurant_ID,restaurant_name,country_code,Country,city,Address,locality,locality_verbose,restaurant_latitude,restaurant_longitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_color,rating_text,rating_votes
4724,5704118,Tikka Tonight,214,UAE,Abu Dhabi,"Behind RAK Bank, Sanaiya ME11, Mussafah Sanaiya, Abu Dhabi",Mussafah Sanaiya,"Mussafah Sanaiya, Abu Dhabi",24.363130,54.510040,"Pakistani, Afghani, Indian, Hyderabadi",50,AED,N,Y,N,N,2,4.0,5BA829,Very Good,277
4725,5704168,Salt,214,UAE,Abu Dhabi,"Inside Mushrif Park, Al Mushrif, Abu Dhabi",Al Mushrif,"Al Mushrif, Abu Dhabi",24.454312,54.380807,"Fast Food, Burger",100,AED,N,N,N,N,3,4.2,5BA829,Very Good,228
4726,5704202,Hot Palayok,214,UAE,Abu Dhabi,"Food Court, Level 2, Madinat Zayed Shopping Centre, Madinat Zayed, Abu Dhabi","Madinat Zayed Shopping Centre, Madinat Zayed ","Madinat Zayed Shopping Centre, Madinat Zayed , Abu Dhabi",24.482771,54.366158,"Filipino, Japanese, Asian",100,AED,N,Y,N,N,3,4.5,3F7E00,Excellent,162
4727,5704255,Famous Dave's Barbecue,214,UAE,Abu Dhabi,"Near The One, Level 3, Abu Dhabi Mall, Tourist Club Area (Al Zahiyah), Abu Dhabi","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah)","Abu Dhabi Mall, Tourist Club Area  (Al Zahiyah), Abu Dhabi",24.495693,54.382946,American,260,AED,N,Y,N,N,4,4.6,3F7E00,Excellent,376
4728,5800144,Carnival Ice Cream,191,Sri Lanka,Colombo,"263, Galle Road, Near NSB ATM, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",6.910538,79.850073,"Desserts, Ice Cream",1000,LKR,N,N,N,N,2,4.1,5BA829,Very Good,122
4729,5800156,Queen's Cafe,191,Sri Lanka,Colombo,"417, Duplication Road, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",6.899175,79.855819,"American, Chinese, North Indian",2000,LKR,N,N,N,N,3,2.5,FFBA00,Average,93
4730,5800176,Ministry of Crab,191,Sri Lanka,Colombo,"Old Colombo Dutch Hospital, Fort, Colombo 01","Old Dutch Hospital, Fort","Old Dutch Hospital, Fort, Colombo",6.932814,79.844239,Seafood,4000,LKR,N,N,N,N,4,4.9,3F7E00,Excellent,203
4731,5800316,Cricket Club Cafe,191,Sri Lanka,Colombo,"12 Flower Road, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",0.000000,0.000000,"Continental, American, Seafood",3000,LKR,N,N,N,N,3,4.2,5BA829,Very Good,171
4732,5800433,The Sizzle,191,Sri Lanka,Colombo,"32, Walukarama Road, Kollupitiya, Colombo 03","Kollupitiya, Colombo 03","Kollupitiya, Colombo 03, Colombo",6.904581,79.852928,"American, Fast Food, Steak, Beverages",3000,LKR,N,N,N,N,3,4.2,5BA829,Very Good,286
4733,5800515,Malay Restaurant,191,Sri Lanka,Colombo,"115, Hill Street, Dehiwala, Colombo","Dehiwala, Colombo","Dehiwala, Colombo, Colombo",6.850283,79.870890,"Malaysian, North Indian, Sri Lankan",1500,LKR,N,N,N,N,2,3.5,9ACD32,Good,80
